# $ this file belongs to the Molcas repository $
# this file defines aliases for basis set for.each atom
# Format:
#Basis_name Alias(real file)
#H.Ano-s   H.Ano-s...1s.
#

Ga.ANO-S-MB                              Ga.ANO-S...4s3p1d.
Ga.ANO-S-VDZ                             Ga.ANO-S...5s4p1d.
Ga.ANO-S-VDZP                            Ga.ANO-S...4s4p2d.
Ga.ANO-S-VTZP                            Ga.ANO-S...6s5p3d.
Ge.ANO-S-MB                              Ge.ANO-S...4s3p1d.
Ge.ANO-S-VDZ                             Ge.ANO-S...5s4p1d.
Ge.ANO-S-VDZP                            Ge.ANO-S...4s4p2d.
Ge.ANO-S-VTZP                            Ge.ANO-S...6s5p3d.
As.ANO-S-MB                              As.ANO-S...4s3p1d.
As.ANO-S-VDZ                             As.ANO-S...5s4p1d.
As.ANO-S-VDZP                            As.ANO-S...4s4p2d.
As.ANO-S-VTZP                            As.ANO-S...6s5p3d.
Se.ANO-S-MB                              Se.ANO-S...4s3p1d.
Se.ANO-S-VDZ                             Se.ANO-S...5s4p1d.
Se.ANO-S-VDZP                            Se.ANO-S...4s4p2d.
Se.ANO-S-VTZP                            Se.ANO-S...6s5p3d.
Br.ANO-S-MB                              Br.ANO-S...4s3p1d.
Br.ANO-S-VDZ                             Br.ANO-S...5s4p1d.
Br.ANO-S-VDZP                            Br.ANO-S...4s4p2d.
Br.ANO-S-VTZP                            Br.ANO-S...6s5p3d.
Kr.ANO-S-MB                              Kr.ANO-S...4s3p1d.
Kr.ANO-S-VDZ                             Kr.ANO-S...5s4p1d.
Kr.ANO-S-VDZP                            Kr.ANO-S...4s4p2d.
Kr.ANO-S-VTZP                            Kr.ANO-S...6s5p3d.
H.ANO-L-MB                               H.ANO-L...1s.
H.ANO-L-VDZ                              H.ANO-L...2s.
H.ANO-L-VDZP                             H.ANO-L...2s1p.
H.ANO-L-VTZ                              H.ANO-L...3s1p.
H.ANO-L-VTZP                             H.ANO-L...3s2p1d.
H.ANO-L-VQZP                             H.ANO-L...4s3p2d.
He.ANO-L-MB                              He.ANO-L...1s.
He.ANO-L-VDZ                             He.ANO-L...2s.
He.ANO-L-VDZP                            He.ANO-L...2s1p.
He.ANO-L-VTZ                             He.ANO-L...3s1p.
He.ANO-L-VTZP                            He.ANO-L...3s2p1d.
He.ANO-L-VQZP                            He.ANO-L...4s3p2d.
Li.ANO-L-MB                              Li.ANO-L...2s1p.
Li.ANO-L-VDZ                             Li.ANO-L...3s2p.
Li.ANO-L-VDZP                            Li.ANO-L...3s2p1d.
Li.ANO-L-VTZ                             Li.ANO-L...4s3p2d.
Li.ANO-L-VTZP                            Li.ANO-L...4s3p2d1f.
Li.ANO-L-VQZP                            Li.ANO-L...5s4p3d2f.
Be.ANO-L-MB                              Be.ANO-L...2s1p.
Be.ANO-L-VDZ                             Be.ANO-L...3s2p.
Be.ANO-L-VDZP                            Be.ANO-L...3s2p1d.
Be.ANO-L-VTZ                             Be.ANO-L...4s3p2d.
Be.ANO-L-VTZP                            Be.ANO-L...4s3p2d1f.
Be.ANO-L-VQZP                            Be.ANO-L...5s4p3d2f.
B.ANO-L-MB                               B.ANO-L...2s1p.
B.ANO-L-VDZ                              B.ANO-L...3s2p.
B.ANO-L-VDZP                             B.ANO-L...3s2p1d.
B.ANO-L-VTZ                              B.ANO-L...4s3p2d.
B.ANO-L-VTZP                             B.ANO-L...4s3p2d1f.
B.ANO-L-VQZP                             B.ANO-L...5s4p3d2f.
C.ANO-L-MB                               C.ANO-L...2s1p.
C.ANO-L-VDZ                              C.ANO-L...3s2p.
C.ANO-L-VDZP                             C.ANO-L...3s2p1d.
C.ANO-L-VTZ                              C.ANO-L...4s3p2d.
C.ANO-L-VTZP                             C.ANO-L...4s3p2d1f.
C.ANO-L-VQZP                             C.ANO-L...5s4p3d2f.
N.ANO-L-MB                               N.ANO-L...2s1p.
N.ANO-L-VDZ                              N.ANO-L...3s2p.
N.ANO-L-VDZP                             N.ANO-L...3s2p1d.
N.ANO-L-VTZ                              N.ANO-L...4s3p2d.
N.ANO-L-VTZP                             N.ANO-L...4s3p2d1f.
N.ANO-L-VQZP                             N.ANO-L...5s4p3d2f.
